tests,new_recoveries,active_cases,new_cases
0,0,0,0
25,0,1,1
92,0,1,0
179,0,5,4
0,0,6,1
299,0,11,5
230,0,17,6
246,0,22,5
394,0,31,9
210,0,50,20
655,0,66,17
1525,0,101,36
1079,0,122,21
0,0,173,52
2406,1,232,61
1616,0,281,49
1681,0,349,68
1876,0,419,70
2012,0,530,111
2523,0,626,98
2520,0,740,115
2771,0,890,152
3346,0,1037,150
3320,0,1204,170
4503,0,1372,168
4607,0,1619,249
4109,0,1839,224
3824,0,2023,193
4812,0,2277,256
4382,0,2510,243
5377,0,2888,392
5760,0,3311,437
5963,115,3432,244
7856,18,3874,475
4710,28,4144,311
6748,29,4528,435
7069,31,4825,357
8313,62,5117,370
10698,34,5456,380
11265,57,5773,401
8447,64,6003,318
5623,48,6200,258
4691,131,6321,270
8172,50,6628,380
12578,106,6830,336
10583,92,7177,457
13306,115,7381,334
11286,59,7824,515
9990,93,8017,306
10119,164,8096,263
14444,216,8168,313
11920,227,8255,342
14482,204,8392,381
13793,182,8561,381
11639,139,8754,344
7226,201,8812,285
12885,189,8905,316
13783,370,8929,422
13500,211,8998,300
16601,255,8964,228
11385,271,8951,270
9935,183,9071,318
7856,150,9215,313
10466,185,9417,406
16198,375,9335,311
15526,207,9409,303
17512,322,9404,337
17180,253,9430,288
16218,261,9499,345
14312,118,9700,330
16560,315,9913,556
20346,279,9933,322
26235,286,10036,411
21919,222,10191,401
25118,257,10167,241
18855,276,10153,272
15797,177,10321,356
17178,275,10416,382
21637,280,10593,471
22369,269,10717,403
22341,279,10899,471
31368,246,10957,315
16502,217,11098,361
12135,82,11346,341
22177,744,11028,443
23021,310,11111,397
21958,230,11223,352
26724,132,11410,332
25613,324,11488,412
16477,255,11449,219
15974,178,11636,375
14435,277,11577,236
21222,288,11558,292
29427,213,11704,361
18333,183,11863,362
23344,231,12194,576
18115,214,12551,575
14404,143,12998,599
17053,198,13181,400
22056,215,13225,282
19130,285,13290,359
21944,109,13550,376
18105,299,13676,440
19654,122,13919,375
13282,157,14149,396
19109,271,14269,407
25966,267,14438,450
23852,396,14326,314
26725,381,14279,352
22723,483,14093,309
21443,502,13892,311
14193,393,13792,296
21171,497,13579,300
22441,561,13291,294
25196,520,13044,289
22287,564,12748,285
22832,754,12307,319
24031,576,11920,193
5547,349,11812,247
21866,384,11648,239
25104,510,11506,382
23183,418,11444,371
27804,442,11247,259
22663,476,11081,314
19210,619,10688,231
16294,220,10669,205
20700,272,10647,257
20209,640,10269,277
23855,599,9923,262
24203,571,9606,265
35012,587,9318,305
17969,513,9172,370
15753,367,9099,299
21904,241,9113,267
25323,736,8635,264
25497,436,8522,333
26254,577,8291,353
24546,419,8205,339
19383,368,8189,358
15464,247,8217,279
20266,232,8375,399
25511,368,8381,380
27190,402,8388,418
24280,456,8386,458
26239,422,8539,584
20300,334,8641,443
18812,103,8870,337
22691,187,9179,502
29952,147,9532,512
23064,453,9679,615
35127,344,9985,657
28385,387,10251,658
23874,335,10454,548
17783,172,10856,575
25829,175,11355,680
33647,265,11712,640
28650,321,12099,726
32676,399,12496,809
21900,362,12964,843
20374,288,13293,624
14924,186,13724,619
23142,273,13990,551
24079,461,14235,715
26131,350,14683,811
26726,401,15099,832
24632,491,15368,771
16613,277,15677,594
13158,229,16035,595
20530,284,16337,597
28741,456,16599,735
25599,382,16972,767
29689,548,17314,903
25704,632,17569,900
19634,522,17624,581
16754,265,17902,548
22211,336,18312,763
28894,615,18409,729
28283,698,18583,887
25762,688,18677,791
21871,751,18671,759
19017,656,18645,631
12474,446,18695,502
29407,392,18834,550
34167,835,18574,595
15684,728,18444,612
22493,1227,17900,691
25566,2526,15928,567
18619,1910,14448,437
10303,857,13890,302
18818,797,13481,400
23327,1225,12666,421
18680,934,12226,506
18643,779,12031,594
21154,877,11744,603
14502,934,11306,502
12631,438,11230,377
18719,451,11360,605
21912,562,11388,600
22192,615,11594,837
21023,587,11747,757
20040,549,12188,1002
18988,441,12646,910
12224,302,13087,748
22599,368,13412,711
22058,589,13769,974
23725,597,14283,1136
24232,582,15265,1587
23290,586,16231,1584
18821,578,16995,1350
13467,516,17770,1306
23119,535,18525,1326
28021,740,19307,1552
29615,706,20538,1967
28724,952,21851,2292
30515,856,23328,2367
25976,794,24442,1934
18324,549,25870,2006
24036,606,27442,2236
44056,1188,29182,3003
44113,1144,32242,4280
30812,1385,35544,4739
28228,1107,39684,5300
31180,1320,42511,4178
25078,899,45971,4394
33851,803,50173,5068
43852,1843,54740,6526
64518,1741,61007,8099
50825,2185,66395,7705
48989,2389,73544,9622
37289,2489,79542,8536
36039,1363,85620,7482
41578,1942,92862,9291
59341,2928,99844,10040
50200,3320,108463,12107
62121,2888,119054,13632
55352,4252,128252,13628
53539,3275,136632,11742
50407,2683,144145,10241
66062,3935,156378,16300
60607,4267,170697,18820
67892,5763,184789,20156
78041,5457,200759,21629
59795,5556,216820,21897
49971,6315,227524,17171
65012,7818,235192,15578
65792,5573,248756,19364
69080,8974,264102,24692
67120,8721,282157,27143
82955,10994,297804,27086
66814,11835,313495,27875
61055,8853,329191,24785
43456,10008,340723,21713
54701,11290,354557,25454
53274,12214,367135,25221
